"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
"TxDb for Gencode v23 on hg19 coordinates","Gencode v23 TxDb object on hg19 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh37","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_23/GRCh37_mapping/gencode.v23lift37.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","TxDb","SQLiteFile","GenomicState/gencode/gencode_v23_hg19_txdb.sqlite","Gencode:v23:hg19"
"Annotated genes for Gencode v23 on hg19 coordinates","Gencode v23 annotated genes from bumphunter::annotateTranscripts() on hg19 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh37","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_23/GRCh37_mapping/gencode.v23lift37.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","GRanges","Rda","GenomicState/gencode/gencode_v23_hg19_annotated_genes.rda","Gencode:v23:hg19"
"GenomicState for Gencode v23 on hg19 coordinates","Gencode v23 GenomicState from derfinder::makeGenomicState() on hg19 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh37","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_23/GRCh37_mapping/gencode.v23lift37.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","list","Rda","GenomicState/gencode/gencode_v23_hg19_GenomicState.rda","Gencode:v23:hg19"
"TxDb for Gencode v23 on hg38 coordinates","Gencode v23 TxDb object on hg38 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh38","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_23/gencode.v23.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","TxDb","SQLiteFile","GenomicState/gencode/gencode_v23_hg38_txdb.sqlite","Gencode:v23:hg38"
"Annotated genes for Gencode v23 on hg38 coordinates","Gencode v23 annotated genes from bumphunter::annotateTranscripts() on hg38 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh38","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_23/gencode.v23.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","GRanges","Rda","GenomicState/gencode/gencode_v23_hg38_annotated_genes.rda","Gencode:v23:hg38"
"GenomicState for Gencode v23 on hg38 coordinates","Gencode v23 GenomicState from derfinder::makeGenomicState() on hg38 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh38","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_23/gencode.v23.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","list","Rda","GenomicState/gencode/gencode_v23_hg38_GenomicState.rda","Gencode:v23:hg38"
"TxDb for Gencode v24 on hg19 coordinates","Gencode v24 TxDb object on hg19 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh37","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_24/GRCh37_mapping/gencode.v24lift37.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","TxDb","SQLiteFile","GenomicState/gencode/gencode_v24_hg19_txdb.sqlite","Gencode:v24:hg19"
"Annotated genes for Gencode v24 on hg19 coordinates","Gencode v24 annotated genes from bumphunter::annotateTranscripts() on hg19 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh37","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_24/GRCh37_mapping/gencode.v24lift37.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","GRanges","Rda","GenomicState/gencode/gencode_v24_hg19_annotated_genes.rda","Gencode:v24:hg19"
"GenomicState for Gencode v24 on hg19 coordinates","Gencode v24 GenomicState from derfinder::makeGenomicState() on hg19 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh37","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_24/GRCh37_mapping/gencode.v24lift37.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","list","Rda","GenomicState/gencode/gencode_v24_hg19_GenomicState.rda","Gencode:v24:hg19"
"TxDb for Gencode v24 on hg38 coordinates","Gencode v24 TxDb object on hg38 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh38","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_24/gencode.v24.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","TxDb","SQLiteFile","GenomicState/gencode/gencode_v24_hg38_txdb.sqlite","Gencode:v24:hg38"
"Annotated genes for Gencode v24 on hg38 coordinates","Gencode v24 annotated genes from bumphunter::annotateTranscripts() on hg38 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh38","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_24/gencode.v24.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","GRanges","Rda","GenomicState/gencode/gencode_v24_hg38_annotated_genes.rda","Gencode:v24:hg38"
"GenomicState for Gencode v24 on hg38 coordinates","Gencode v24 GenomicState from derfinder::makeGenomicState() on hg38 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh38","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_24/gencode.v24.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","list","Rda","GenomicState/gencode/gencode_v24_hg38_GenomicState.rda","Gencode:v24:hg38"
"TxDb for Gencode v25 on hg19 coordinates","Gencode v25 TxDb object on hg19 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh37","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_25/GRCh37_mapping/gencode.v25lift37.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","TxDb","SQLiteFile","GenomicState/gencode/gencode_v25_hg19_txdb.sqlite","Gencode:v25:hg19"
"Annotated genes for Gencode v25 on hg19 coordinates","Gencode v25 annotated genes from bumphunter::annotateTranscripts() on hg19 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh37","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_25/GRCh37_mapping/gencode.v25lift37.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","GRanges","Rda","GenomicState/gencode/gencode_v25_hg19_annotated_genes.rda","Gencode:v25:hg19"
"GenomicState for Gencode v25 on hg19 coordinates","Gencode v25 GenomicState from derfinder::makeGenomicState() on hg19 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh37","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_25/GRCh37_mapping/gencode.v25lift37.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","list","Rda","GenomicState/gencode/gencode_v25_hg19_GenomicState.rda","Gencode:v25:hg19"
"TxDb for Gencode v25 on hg38 coordinates","Gencode v25 TxDb object on hg38 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh38","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_25/gencode.v25.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","TxDb","SQLiteFile","GenomicState/gencode/gencode_v25_hg38_txdb.sqlite","Gencode:v25:hg38"
"Annotated genes for Gencode v25 on hg38 coordinates","Gencode v25 annotated genes from bumphunter::annotateTranscripts() on hg38 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh38","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_25/gencode.v25.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","GRanges","Rda","GenomicState/gencode/gencode_v25_hg38_annotated_genes.rda","Gencode:v25:hg38"
"GenomicState for Gencode v25 on hg38 coordinates","Gencode v25 GenomicState from derfinder::makeGenomicState() on hg38 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh38","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_25/gencode.v25.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","list","Rda","GenomicState/gencode/gencode_v25_hg38_GenomicState.rda","Gencode:v25:hg38"
"TxDb for Gencode v26 on hg19 coordinates","Gencode v26 TxDb object on hg19 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh37","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_26/GRCh37_mapping/gencode.v26lift37.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","TxDb","SQLiteFile","GenomicState/gencode/gencode_v26_hg19_txdb.sqlite","Gencode:v26:hg19"
"Annotated genes for Gencode v26 on hg19 coordinates","Gencode v26 annotated genes from bumphunter::annotateTranscripts() on hg19 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh37","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_26/GRCh37_mapping/gencode.v26lift37.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","GRanges","Rda","GenomicState/gencode/gencode_v26_hg19_annotated_genes.rda","Gencode:v26:hg19"
"GenomicState for Gencode v26 on hg19 coordinates","Gencode v26 GenomicState from derfinder::makeGenomicState() on hg19 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh37","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_26/GRCh37_mapping/gencode.v26lift37.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","list","Rda","GenomicState/gencode/gencode_v26_hg19_GenomicState.rda","Gencode:v26:hg19"
"TxDb for Gencode v26 on hg38 coordinates","Gencode v26 TxDb object on hg38 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh38","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_26/gencode.v26.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","TxDb","SQLiteFile","GenomicState/gencode/gencode_v26_hg38_txdb.sqlite","Gencode:v26:hg38"
"Annotated genes for Gencode v26 on hg38 coordinates","Gencode v26 annotated genes from bumphunter::annotateTranscripts() on hg38 coordinates. This is useful for packages such as derfinder and derfinderPlot. For more information, check the GenomicState package.","3.10","GRCh38","GTF","ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_26/gencode.v26.annotation.gtf.gz","Oct 03 2019","Homo sapiens",9606,TRUE,"GENCODE","Leonardo Collado-Torres <lcolladotor@gmail.com>","GRanges","Rda","GenomicState/gencode/gencode_v26_hg38_annotated_genes.rda","Gencode:v26:hg38"
